driver_id,age,vehicle_type,vehicle_age,daily_mileage,night_driving_level,harsh_braking_level,accidents_last_2yr,claim_history
D001,23,Sedan,4.0,3000.0,Medium,Medium,2,1
D002,19,SUV,3.0,10.0,Low,Medium,0,0
D003,19,SUV,4.0,25.0,Low,Low,0,1
D004,20,SUV,2.0,0.0,Low,Medium,0,0
D005,20,Other,4.0,5.0,Medium,Medium,0,0
D006,24,Sedan,12.0,30.0,Low,Low,0,0
D007,20,Motorcycle,2.0,20.0,Medium,Low,0,0
D008,21,Motorcycle,2.0,25.0,Low,High,3,1
D009,19,SUV,11.0,8.0,Low,Medium,0,1
D010,19,Other,7.0,22.5,Low,Medium,2,0
D011,21,SUV,0.0,20.0,Low,Medium,1,1
D012,23,Motorcycle,1.0,30.0,Medium,Low,1,0
D013,18,Motorcycle,11.0,15.0,Low,Medium,0,0
D014,22,Other,2.0,22.0,Low,Medium,2,1
D015,20,SUV,3.0,10.0,Medium,Low,0,1
D016,20,Motorcycle,4.0,30.0,Medium,High,1,0
D017,22,Motorcycle,2.0,4.0,High,High,4,0
D018,45,SUV,11.0,8.0,Medium,Medium,1,1
D019,22,Motorcycle,17.0,20.0,Low,Medium,0,0
D020,20,Hatchback,10.0,10.0,Medium,Low,0,0
D021,21,Other,6.0,5.0,Low,High,1,0
D022,18,Motorcycle,1.0,30.0,Low,Low,730,1
D023,21,Other,7.0,12.5,Low,Low,1,0
D024,18,SUV,4.0,45.0,Medium,High,0,0
D025,20,Motorcycle,6.0,20.0,Low,High,0,1
D026,21,SUV,5.0,5.0,High,High,2,1
D027,21,Motorcycle,5.0,5.0,High,Low,0,1
D028,99,Hatchback,50.0,400.0,High,Low,90,0
D029,50,Other,30.0,200.0,High,Low,12,0
D030,22,Sedan,20.0,50.0,Medium,Low,0,1
D031,69,Motorcycle,55.0,390.0,High,Low,350,0
D032,20,Motorcycle,1.0,20.0,Medium,Low,0,0
D033,21,Motorcycle,0.5,40.0,Medium,Low,0,0
D034,21,Hatchback,7.0,10.0,Medium,Low,0,1
D035,20,Motorcycle,0.0833,20.0,Medium,Low,0,0
D036,18,Motorcycle,1.0,4.0,Low,Medium,1,0
D037,18,Sedan,10.0,5.0,Low,Low,0,0
D038,20,Sedan,0.0,30.0,Low,Medium,1,1
D039,20,Motorcycle,4.0,30.0,Medium,Medium,0,0
D040,18,Motorcycle,4.0,30.0,Medium,Medium,0,0
D041,18,Sedan,1.0,19.0,Medium,Low,5,1
D042,19,Hatchback,5.0,25000.0,Medium,Medium,1,0
D043,20,Motorcycle,1.0,30.0,Low,Medium,0,0
D044,21,Sedan,0.0,10.0,Medium,High,1,0
D045,19,Motorcycle,4.0,30.0,Low,Low,0,0
D046,19,SUV,3.0,30.0,Medium,Medium,0,0
D047,22,Other,10.0,3.0,Low,Medium,0,0
D048,50,Motorcycle,8.0,10.0,Medium,Low,0,1
D049,20,Motorcycle,1.0,20.0,Medium,Medium,0,0
D050,21,SUV,7.0,8.0,Low,Low,0,0
