age_policyholder,nclaims,exposure,amount,power,bm,zip
70,0,1.0,0.0,106,5,1
40,0,1.0,0.0,74,3,1
78,0,1.0,0.0,65,8,2
49,0,1.0,0.0,64,10,1
59,0,1.0,0.0,29,1,3
71,0,0.4547945205479452,0.0,66,6,3
55,1,1.0,2607.0,43,2,3
52,0,1.0,0.0,55,2,3
51,0,1.0,0.0,100,1,3
47,0,1.0,0.0,66,2,3
62,0,1.0,0.0,44,1,2
46,1,1.0,2890.0,68,2,1
32,0,1.0,0.0,50,2,1
52,0,0.8849315068493151,0.0,50,9,2
65,0,1.0,0.0,34,5,2
43,1,1.0,2625.0,50,1,2
55,0,1.0,0.0,55,1,1
44,0,1.0,0.0,108,2,2
56,0,1.0,0.0,66,1,1
74,0,1.0,0.0,27,1,1
23,0,0.7287671232876712,0.0,124,2,2
51,0,0.4958904109589041,0.0,52,1,3
70,0,0.3315068493150685,0.0,66,1,2
34,0,0.9178082191780822,0.0,100,3,1
53,0,1.0,0.0,81,7,3
40,0,1.0,0.0,65,8,1
43,1,1.0,6519.0,37,6,1
66,0,1.0,0.0,73,6,2
55,0,0.6054794520547945,0.0,47,11,1
40,0,1.0,0.0,37,5,1
33,0,0.1726027397260274,0.0,70,12,2
64,0,1.0,0.0,66,1,3
50,1,1.0,5214.0,58,2,2
22,0,0.7698630136986301,0.0,66,1,1
51,0,1.0,0.0,44,6,2
51,0,1.0,0.0,60,1,3
44,0,1.0,0.0,44,1,3
55,1,1.0,5784.0,73,1,1
41,0,1.0,0.0,60,11,1
61,0,1.0,0.0,57,1,3
46,0,1.0,0.0,33,4,2
64,1,1.0,6314.0,44,1,1
70,0,1.0,0.0,40,5,3
34,1,1.0,6302.0,55,2,3
47,0,1.0,0.0,55,3,2
33,1,0.9863013698630136,27692.0,39,1,1
48,0,1.0,0.0,66,2,3
72,0,0.40273972602739727,0.0,62,8,1
59,0,1.0,0.0,25,10,1
86,0,1.0,0.0,47,1,3
26,0,1.0,0.0,66,2,2
44,1,1.0,2839.0,66,9,1
47,0,1.0,0.0,42,9,3
50,0,1.0,0.0,66,2,1
75,0,1.0,0.0,47,2,2
47,0,0.6876712328767123,0.0,47,15,3
55,0,0.6904109589041096,0.0,55,12,2
46,0,0.27123287671232876,0.0,40,1,2
63,0,1.0,0.0,47,1,1
53,0,1.0,0.0,50,7,3
69,0,1.0,0.0,68,2,3
80,0,1.0,0.0,85,2,1
54,0,1.0,0.0,55,8,3
56,0,1.0,0.0,60,1,1
23,0,1.0,0.0,92,12,2
71,0,1.0,0.0,90,6,3
43,0,0.8273972602739726,0.0,32,1,2
36,1,1.0,198873.0,66,2,3
53,0,1.0,0.0,54,1,3
31,0,1.0,0.0,55,7,1
48,0,0.7726027397260274,0.0,40,1,1
38,0,1.0,0.0,54,8,2
67,0,0.5452054794520548,0.0,55,1,3
37,0,0.36712328767123287,0.0,70,3,3
39,0,1.0,0.0,37,1,2
65,0,1.0,0.0,55,1,3
21,0,0.24383561643835616,0.0,82,1,1
44,0,1.0,0.0,105,1,2
69,0,1.0,0.0,55,1,2
64,0,1.0,0.0,52,9,1
46,0,0.7808219178082192,0.0,63,2,2
21,2,1.0,13916.0,74,7,1
37,0,1.0,0.0,53,1,2
64,0,1.0,0.0,74,1,3
51,0,1.0,0.0,45,1,2
56,0,1.0,0.0,40,1,2
30,0,1.0,0.0,54,5,1
76,0,1.0,0.0,29,6,3
37,0,1.0,0.0,44,7,1
29,0,0.6657534246575343,0.0,44,2,1
72,0,0.2191780821917808,0.0,60,1,1
57,0,1.0,0.0,55,4,2
64,1,1.0,2645.0,83,1,3
47,0,1.0,0.0,57,1,2
36,0,1.0,0.0,47,2,1
24,0,0.043835616438356165,0.0,66,1,3
33,0,1.0,0.0,55,1,1
50,0,0.25205479452054796,0.0,43,2,2
66,0,1.0,0.0,74,10,1
21,0,1.0,0.0,55,1,3
36,0,1.0,0.0,42,2,1
48,0,1.0,0.0,40,1,3
43,0,1.0,0.0,40,1,1
25,0,0.36712328767123287,0.0,79,8,2
53,0,1.0,0.0,75,1,2
37,0,1.0,0.0,100,2,1
77,0,1.0,0.0,40,1,3
66,1,1.0,2607.0,21,1,3
39,1,1.0,26400.0,40,6,3
54,2,1.0,342368.0,47,6,3
34,0,1.0,0.0,25,1,1
69,0,1.0,0.0,73,2,3
45,0,1.0,0.0,45,2,1
28,1,1.0,17568.0,40,2,3
29,1,1.0,121902.0,65,1,1
32,0,1.0,0.0,40,10,2
78,0,0.5068493150684932,0.0,47,2,1
70,0,1.0,0.0,44,1,1
53,1,1.0,2816.0,100,12,3
34,1,1.0,73556.0,40,1,1
53,0,1.0,0.0,68,4,3
40,0,1.0,0.0,40,9,2
31,0,1.0,0.0,55,6,1
58,0,1.0,0.0,55,1,2
55,0,1.0,0.0,25,1,2
38,0,0.673972602739726,0.0,55,1,1
47,1,1.0,2426.0,33,5,1
42,1,0.8410958904109589,59886.0,44,2,1
74,0,1.0,0.0,85,1,1
43,0,1.0,0.0,50,2,1
48,0,1.0,0.0,55,1,1
53,0,1.0,0.0,65,6,1
51,0,1.0,0.0,64,1,1
51,0,1.0,0.0,65,7,2
66,0,1.0,0.0,58,2,1
46,0,1.0,0.0,89,1,1
26,0,1.0,0.0,52,1,1
49,0,1.0,0.0,101,1,2
54,0,1.0,0.0,33,12,3
21,0,0.3315068493150685,0.0,130,1,1
64,0,1.0,0.0,35,9,3
72,0,1.0,0.0,40,3,1
38,0,1.0,0.0,47,12,1
53,0,1.0,0.0,41,11,1
73,0,1.0,0.0,55,6,3
47,0,1.0,0.0,39,2,1
43,0,0.7917808219178082,0.0,66,1,3
35,0,0.1726027397260274,0.0,44,1,3
42,0,1.0,0.0,43,1,1
58,0,0.33972602739726027,0.0,74,1,1
25,0,1.0,0.0,59,12,1
41,0,0.7479452054794521,0.0,55,1,1
59,0,1.0,0.0,55,11,2
66,0,1.0,0.0,50,2,3
57,0,1.0,0.0,55,9,3
53,0,1.0,0.0,39,7,2
58,0,1.0,0.0,40,10,1
54,0,1.0,0.0,29,2,1
41,0,1.0,0.0,55,3,1
70,0,1.0,0.0,54,5,1
28,0,1.0,0.0,40,2,1
36,0,1.0,0.0,39,7,2
60,0,1.0,0.0,74,1,2
57,0,1.0,0.0,65,1,1
53,0,0.736986301369863,0.0,81,2,2
66,0,1.0,0.0,33,2,1
24,0,1.0,0.0,78,2,1
43,0,0.9972602739726028,0.0,47,2,2
61,0,1.0,0.0,84,12,1
29,0,1.0,0.0,40,1,1
35,0,0.9753424657534246,0.0,73,2,2
74,1,1.0,2607.0,38,1,1
31,0,1.0,0.0,47,2,1
33,0,1.0,0.0,33,1,3
45,0,1.0,0.0,63,2,2
43,0,0.3287671232876712,0.0,40,6,1
35,0,0.4986301369863014,0.0,33,1,1
75,0,1.0,0.0,89,1,2
58,0,0.39452054794520547,0.0,39,9,3
60,0,0.9041095890410958,0.0,42,1,1
53,1,1.0,57540.0,47,12,3
49,0,1.0,0.0,33,12,1
47,0,1.0,0.0,36,1,2
66,0,1.0,0.0,66,8,1
48,0,1.0,0.0,39,1,3
39,0,1.0,0.0,60,1,1
61,0,0.06301369863013699,0.0,48,1,3
70,0,1.0,0.0,55,10,3
71,0,1.0,0.0,39,2,1
41,0,1.0,0.0,33,3,2
57,0,1.0,0.0,66,8,1
38,0,1.0,0.0,66,4,2
78,0,1.0,0.0,54,1,2
49,0,1.0,0.0,42,2,3
57,0,1.0,0.0,98,1,2
37,0,1.0,0.0,65,2,1
40,0,1.0,0.0,48,7,3
70,0,1.0,0.0,64,1,2
69,0,1.0,0.0,43,2,3
40,0,1.0,0.0,68,6,3
49,0,0.09863013698630137,0.0,37,2,1
48,0,1.0,0.0,46,10,3
30,0,1.0,0.0,40,12,1
37,0,1.0,0.0,47,1,3
61,0,1.0,0.0,34,11,3
33,0,1.0,0.0,55,15,2
42,0,0.2547945205479452,0.0,85,2,1
49,0,1.0,0.0,103,5,3
41,0,1.0,0.0,33,4,2
67,0,1.0,0.0,51,12,2
41,0,1.0,0.0,45,1,3
46,0,0.9643835616438357,0.0,51,1,1
25,0,0.7726027397260274,0.0,55,1,2
78,0,0.2547945205479452,0.0,37,1,1
38,0,0.12054794520547946,0.0,66,1,3
48,0,1.0,0.0,55,1,1
52,0,1.0,0.0,48,1,1
60,0,1.0,0.0,47,1,3
54,0,0.9095890410958904,0.0,82,1,2
34,0,1.0,0.0,65,4,1
46,0,1.0,0.0,40,15,1
34,0,1.0,0.0,66,2,2
21,0,0.6904109589041096,0.0,58,12,3
47,0,1.0,0.0,60,1,2
36,0,0.6356164383561644,0.0,38,1,3
37,1,1.0,24948.0,45,1,1
59,1,1.0,21208.0,48,6,2
34,0,1.0,0.0,60,1,1
46,0,1.0,0.0,79,2,3
35,0,0.410958904109589,0.0,55,1,3
72,0,0.7698630136986301,0.0,110,6,3
51,0,1.0,0.0,77,10,2
76,0,1.0,0.0,47,1,2
58,0,1.0,0.0,96,1,1
26,0,0.08493150684931507,0.0,40,3,1
26,0,1.0,0.0,85,1,1
31,0,1.0,0.0,55,2,2
65,0,1.0,0.0,69,6,2
34,0,1.0,0.0,47,1,2
72,0,1.0,0.0,66,1,1
62,0,1.0,0.0,63,1,2
52,0,1.0,0.0,80,2,2
73,0,1.0,0.0,43,2,1
32,0,1.0,0.0,40,2,1
49,0,0.2273972602739726,0.0,63,8,2
51,0,0.27123287671232876,0.0,63,7,3
60,0,1.0,0.0,70,2,2
41,0,1.0,0.0,40,9,3
45,0,1.0,0.0,29,12,3
65,0,1.0,0.0,47,1,2
44,0,0.8438356164383561,0.0,47,3,1
62,0,1.0,0.0,40,9,3
54,0,1.0,0.0,92,5,3
28,1,1.0,121902.0,50,7,3
50,0,1.0,0.0,43,10,2
55,0,1.0,0.0,99,11,3
54,0,1.0,0.0,55,1,3
32,0,1.0,0.0,55,2,3
66,0,0.273972602739726,0.0,55,1,2
75,0,1.0,0.0,37,1,3
63,0,1.0,0.0,33,1,3
28,0,1.0,0.0,75,5,1
67,0,1.0,0.0,65,1,3
68,0,1.0,0.0,66,3,1
50,0,1.0,0.0,66,1,3
47,0,1.0,0.0,59,10,1
53,1,0.8,53485.0,55,6,3
30,0,0.589041095890411,0.0,62,6,0
21,0,0.17534246575342466,0.0,44,11,1
35,0,1.0,0.0,60,1,1
30,0,0.9616438356164384,0.0,44,11,1
62,0,1.0,0.0,44,5,3
60,0,1.0,0.0,53,7,2
65,0,1.0,0.0,40,1,1
69,0,1.0,0.0,55,2,3
24,0,0.31232876712328766,0.0,55,1,2
35,0,1.0,0.0,44,1,1
45,0,1.0,0.0,55,1,0
49,0,1.0,0.0,42,10,3
53,0,0.7917808219178082,0.0,66,2,3
43,0,0.1589041095890411,0.0,39,2,3
49,0,1.0,0.0,55,7,3
62,0,0.40273972602739727,0.0,60,2,1
42,1,1.0,5850.0,40,1,1
55,0,1.0,0.0,29,1,1
35,0,0.6054794520547945,0.0,55,1,3
40,0,1.0,0.0,55,5,2
49,0,0.2465753424657534,0.0,44,2,2
30,1,1.0,54207.0,85,1,2
39,0,0.6027397260273972,0.0,59,2,3
49,0,1.0,0.0,96,15,1
64,0,0.8054794520547945,0.0,55,5,2
49,0,0.5260273972602739,0.0,59,1,1
66,0,1.0,0.0,77,2,1
46,0,1.0,0.0,85,1,2
59,0,1.0,0.0,66,6,1
67,0,1.0,0.0,98,1,3
65,0,1.0,0.0,116,2,2
50,0,1.0,0.0,82,10,1
65,0,0.7589041095890411,0.0,36,1,3
24,0,1.0,0.0,52,1,1
43,0,1.0,0.0,63,3,1
36,0,1.0,0.0,66,2,3
78,0,1.0,0.0,47,1,1
61,0,1.0,0.0,85,5,3
35,0,1.0,0.0,47,2,0
57,1,1.0,164019.0,44,1,1
66,0,1.0,0.0,84,2,1
33,0,0.4958904109589041,0.0,49,1,1
37,0,0.7452054794520548,0.0,66,1,3
62,0,1.0,0.0,44,1,3
23,1,0.4465753424657534,187316.0,65,6,1
75,0,0.2547945205479452,0.0,44,1,1
49,0,1.0,0.0,53,2,1
33,1,0.3287671232876712,128562.0,40,1,2
46,0,1.0,0.0,37,2,1
42,0,1.0,0.0,34,1,2
