IDpol,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Area,Density,Region,claim_occurred,claim_amount,premium_paid
1,1.0,6.111111111111111,14,59,50.0,B12,Regular,A,393.0,Centre,False,0.0,222.52
1,1.0,6.111111111111111,14,59,50.0,B12,Regular,A,393.0,Centre,False,0.0,213.78
1,1.0,6.111111111111111,14,59,50.0,B12,Regular,A,393.0,Centre,False,0.0,214.84
1,1.0,6.111111111111111,14,59,50.0,B12,Regular,A,393.0,Centre,False,0.0,216.99
2,1.0,6.111111111111111,14,61,50.0,B12,Regular,A,393.0,Centre,False,0.0,213.7
2,1.0,6.111111111111111,14,61,50.0,B12,Regular,A,393.0,Centre,False,0.0,215.83
3,1.0,6.25,5,38,50.0,B12,Regular,A,393.0,Centre,False,0.0,380.2
3,1.0,6.25,5,38,50.0,B12,Regular,A,393.0,Centre,False,0.0,393.5
3,1.0,6.25,5,38,50.0,B12,Regular,A,393.0,Centre,False,0.0,393.5
3,1.0,6.25,5,38,50.0,B12,Regular,A,393.0,Centre,False,0.0,395.47
4,1.0,4.055555555555555,32,43,50.0,B12,Regular,A,393.0,Centre,False,0.0,117.01
4,1.0,4.055555555555555,32,43,50.0,B12,Regular,A,393.0,Centre,False,0.0,117.59
4,1.0,4.055555555555555,32,43,50.0,B12,Regular,A,393.0,Centre,False,0.0,118.77
5,1.0,4.055555555555555,32,44,50.0,B12,Regular,A,393.0,Centre,False,0.0,80.25
5,1.0,4.055555555555555,32,44,50.0,B12,Regular,A,393.0,Centre,False,0.0,81.05
6,1.0,6.305555555555555,12,40,68.0,B12,Regular,A,393.0,Centre,False,0.0,250.52
6,1.0,6.305555555555555,12,40,68.0,B12,Regular,A,393.0,Centre,False,0.0,258.04
6,1.0,6.305555555555555,12,40,68.0,B12,Regular,A,393.0,Centre,False,0.0,259.32
7,1.0,6.916666666666666,9,69,86.0,B12,Regular,A,393.0,Centre,True,720.9633333333333,340.43
8,1.0,7.5,17,60,104.0,B12,Regular,A,393.0,Centre,False,0.0,335.82
8,1.0,7.5,17,60,104.0,B12,Regular,A,393.0,Centre,False,0.0,345.91
8,1.0,7.5,17,60,104.0,B12,Regular,A,393.0,Centre,False,0.0,342.46
9,1.0,5.694444444444445,5,64,68.0,B12,Diesel,A,393.0,Centre,False,0.0,259.12
9,1.0,5.694444444444445,5,64,68.0,B12,Diesel,A,393.0,Centre,False,0.0,214.34
10,1.0,5.694444444444445,5,68,68.0,B12,Diesel,A,393.0,Centre,False,0.0,294.93
10,1.0,5.694444444444445,5,68,68.0,B12,Diesel,A,393.0,Centre,False,0.0,290.5
11,1.0,5.694444444444445,5,68,68.0,B12,Diesel,A,393.0,Centre,False,0.0,253.41
11,1.0,5.694444444444445,5,68,68.0,B12,Diesel,A,393.0,Centre,False,0.0,243.62
12,1.0,5.833333333333333,11,70,122.0,B12,Diesel,A,393.0,Centre,True,37.165,474.49
12,1.0,5.833333333333333,11,70,122.0,B12,Diesel,A,393.0,Centre,True,110.24,483.98
